Proyecto,Módulo,Desarrollador,Líneas de código,Número de bugs,Tiempo de desarrollo (horas),Costo (USD),Satisfacción del cliente,Antigüedad del desarrollador (años),Idioma de programación,Plataforma,Tipo de proyecto,Fase del proyecto,Tamaño del equipo,Tecnologías
"Snyder, Washington and Gonzalez",within,Steven Phelps,7321,34,451,72396,2,2,Python,Desktop,Application,Deployment,7,"much, make, environmental"
"West, Pollard and Riley",myself,Diane Todd,1073,21,186,1149,4,2,Java,Mobile,Application,Deployment,7,"must, figure, raise"
Smith Ltd,into,Derrick Williams,1492,39,393,79537,4,15,Javascript,Desktop,Application,Deployment,7,"rich, maybe, just"
Allen-Williams,item,Shelia Lee,4329,47,470,58908,1,5,Python,Web,Application,Testing,1,"still, economic, baby"
Odom-Patterson,without,Luke Parker,2850,28,445,79821,3,3,Python,Mobile,Application,Testing,9,"including, bring, nature"
Davis PLC,nearly,Robin Johnson,6247,49,388,70872,5,10,Kotlin,Web,Web site,Testing,4,"middle, until, major"
Molina-Williams,him,Richard Perez,2811,33,190,39477,1,14,Kotlin,Mobile,Application,Deployment,9,"fire, remain, over"
Rivera and Sons,feeling,Brian Mcdowell,4673,17,364,76055,2,10,Kotlin,Desktop,Management System,Testing,3,"natural, school, letter"
Sanchez-Johnson,visit,Christopher Richardson,3263,7,318,34985,2,6,Kotlin,Mobile,Web site,Development,7,"may, local, decide"
Williams Inc,speak,Janet Taylor,2947,22,238,57218,3,6,Python,Web,Management System,Development,6,"bag, knowledge, draw"
Parker-Walters,fly,Jorge Odom,611,50,314,37500,4,7,Python,Web,Web site,Testing,4,"society, middle, themselves"
Anderson-Soto,ability,Christopher Simpson,3031,22,203,52589,2,15,Python,Mobile,Management System,Testing,3,"appear, break, certain"
"Ibarra, Miles and Lopez",say,Kaitlyn Cook,2843,17,110,73685,1,14,Python,Web,Web site,Design,1,"certainly, magazine, image"
"Camacho, Griffin and Johnson",create,Melanie Carpenter,3675,9,353,79807,5,4,Python,Desktop,Web site,Design,2,"on, benefit, care"
"Baker, Oliver and Wagner",any,Ana Shaffer,301,23,440,1941,2,9,Kotlin,Mobile,Management System,Deployment,6,"clearly, start, left"
Morgan-Torres,between,Bridget Pineda,9986,32,232,80237,3,4,Javascript,Mobile,Application,Deployment,5,"buy, whose, peace"
"Stewart, Chandler and Alexander",research,Tonya Rios,1519,1,310,7270,2,8,Java,Mobile,Management System,Design,7,"really, alone, skin"
"Walker, Turner and Decker",affect,Brandon Castillo,9757,26,490,26680,4,12,Python,Mobile,Web site,Development,3,"try, poor, type"
Kelley LLC,yet,Andrew Ewing,203,15,319,59513,1,14,Javascript,Mobile,Management System,Development,4,"role, return, somebody"
Navarro and Sons,green,James Horton,1957,50,58,63083,4,12,Kotlin,Mobile,Management System,Deployment,7,"wide, crime, relate"
"Rowe, Shaw and Scott",hundred,Steven Harrison,6138,14,19,12922,2,8,Kotlin,Desktop,Management System,Development,2,"action, run, contain"
White-Hill,administration,Sean Diaz,2201,30,395,52979,3,13,Python,Web,Web site,Deployment,2,"produce, car, heart"
Schwartz-Wong,note,Carla Jones,9262,47,327,19755,4,11,Kotlin,Desktop,Application,Deployment,7,"sign, ever, book"
Lawrence PLC,allow,Katie Foster,478,6,313,28506,4,7,Kotlin,Mobile,Application,Deployment,3,"send, knowledge, yet"
George-Solis,however,Grace Stone,5779,44,78,50487,3,12,Python,Web,Web site,Deployment,3,"west, film, cold"
Stanley-Brown,during,Dustin Ibarra,555,41,62,49474,3,13,Javascript,Web,Management System,Deployment,3,"skin, magazine, eye"
Dillon-Watkins,also,John Walker,1299,49,128,68192,1,1,Javascript,Mobile,Application,Design,1,"particularly, loss, amount"
Jones-Mullen,general,Chris Davis,3493,12,179,84324,4,11,Javascript,Web,Web site,Design,4,"lead, Democrat, technology"
Thomas LLC,station,Jodi Bishop,6657,21,386,59072,4,10,Javascript,Mobile,Web site,Deployment,4,"notice, difficult, could"
Boyle LLC,middle,Matthew Hicks,7215,6,114,72812,2,3,Kotlin,Web,Management System,Development,10,"meeting, a, party"
"Colon, Martin and Greene",could,Eric Allen,6959,37,129,50103,5,3,Kotlin,Mobile,Application,Testing,7,"especially, admit, little"
Cooper-Washington,use,Aaron Mathis,3796,35,449,35318,1,13,Javascript,Web,Application,Development,4,"light, model, value"
Mercer-Mcguire,guess,Joy Fox,8155,44,70,49487,4,4,Python,Web,Management System,Design,5,"wide, machine, here"
Juarez-Graham,adult,Danielle Pittman,755,19,481,62257,5,12,Kotlin,Desktop,Management System,Deployment,10,"improve, capital, newspaper"
Horton Ltd,skin,Robert Santana,4012,24,408,92880,1,1,Python,Desktop,Management System,Development,10,"five, issue, win"
Walker-Smith,bad,Patrick Baker,8820,24,380,36811,4,6,Java,Desktop,Web site,Deployment,4,"under, relationship, new"
"Andrews, Smith and Gregory",charge,Paul Odonnell,1659,31,154,55508,1,10,Javascript,Mobile,Application,Design,10,"close, could, as"
Wood-Burns,teacher,Ashlee Clark,4745,44,57,97396,5,4,Python,Desktop,Application,Testing,10,"better, control, information"
Johnson-Calhoun,avoid,Marie Kennedy,9361,9,248,75800,4,13,Kotlin,Web,Web site,Testing,3,"record, agreement, every"
"Martinez, Martin and Miller",enough,Jessica Wells,239,20,69,60476,2,12,Python,Mobile,Web site,Design,1,"require, event, weight"
"Ross, Warren and Farrell",blood,Michael Foster,6522,37,36,44596,2,2,Javascript,Mobile,Management System,Testing,8,"brother, reduce, avoid"
Sanchez-Cain,social,Kim Jones,1009,40,173,2918,3,3,Javascript,Web,Application,Design,1,"organization, behind, yes"
Jones-Brown,issue,Kelsey Dougherty,1032,1,12,36014,4,2,Python,Web,Web site,Design,4,"bed, bar, machine"
"Fuller, Green and Logan",evening,Phillip Hobbs,5110,22,452,98528,3,1,Python,Mobile,Application,Development,7,"other, black, realize"
Elliott PLC,number,Patrick Willis,9835,0,308,57562,4,2,Java,Web,Application,Development,6,"already, act, economy"
"Jacobs, Schmitt and Pacheco",law,Antonio Campbell,6126,14,32,66718,1,14,Kotlin,Web,Application,Deployment,3,"himself, election, above"
Rivera PLC,race,Peter Jordan,5897,25,261,29747,3,6,Kotlin,Desktop,Web site,Design,5,"leg, example, practice"
Rollins PLC,scientist,Bradley Armstrong,5895,17,208,58288,3,14,Java,Web,Web site,Design,10,"push, value, contain"
Hunt-Parker,policy,Alexander Thompson,9059,33,55,78362,2,3,Javascript,Web,Application,Design,9,"pay, dog, activity"
Harris-Stark,house,Steven Taylor,8448,27,214,9412,4,5,Kotlin,Desktop,Management System,Design,9,"boy, building, wear"
"Wood, Abbott and Chen",box,Paula Hughes,6526,25,271,37212,5,4,Java,Desktop,Management System,Testing,7,"none, let, what"
Weaver-Duffy,just,Jason Edwards,3489,37,133,68290,1,8,Java,Mobile,Application,Testing,3,"art, movement, form"
Walker-Wagner,successful,Tracy Berg,1293,45,175,51670,3,5,Java,Web,Web site,Deployment,9,"thank, reach, ever"
Romero-Brooks,debate,Jodi Thomas,2738,24,77,23691,5,4,Kotlin,Mobile,Web site,Design,1,"but, technology, open"
Singleton PLC,capital,Gregory Alexander,1767,39,227,25571,2,11,Java,Mobile,Management System,Design,8,"much, service, police"
"Orr, Norton and Stephens",shake,Eric Alvarez,5382,46,361,28406,3,3,Java,Web,Web site,Deployment,5,"American, nearly, drive"
Dunlap-Turner,protect,Richard Frye,6347,38,326,75101,3,4,Python,Desktop,Management System,Development,1,"type, college, hospital"
"Wolf, Garrison and Reid",establish,Deborah Vazquez,5590,38,33,35716,3,11,Kotlin,Mobile,Web site,Deployment,8,"poor, tough, have"
Moore Group,sometimes,Sharon Craig,4202,15,124,31066,3,14,Javascript,Web,Management System,Deployment,4,"production, magazine, according"
Jackson LLC,realize,Erik Woods,5121,31,481,27896,4,12,Java,Web,Application,Deployment,3,"seven, Republican, bar"
"Mckay, Williams and Richards",them,Jessica Hart,8361,26,226,93840,1,11,Kotlin,Desktop,Web site,Deployment,8,"sure, senior, culture"
"Gonzales, Lynch and Sullivan",director,Lisa Norris,5117,27,291,25003,3,1,Kotlin,Web,Application,Deployment,3,"such, international, nature"
"Contreras, Fox and Rojas",indeed,Aaron West,5419,7,234,11973,5,7,Javascript,Web,Application,Testing,8,"player, compare, exist"
Morrow-Thomas,speak,Tammy Thompson,2298,37,362,80326,1,3,Python,Web,Management System,Design,2,"top, us, million"
Rose-Hoffman,pattern,Justin Wells,6822,31,273,55451,1,11,Java,Desktop,Application,Development,1,"rich, throw, condition"
Hobbs PLC,goal,Dustin Reeves,6335,33,378,41147,2,1,Kotlin,Mobile,Web site,Deployment,2,"some, activity, affect"
"Simmons, Riley and Krueger",media,Jessica Cunningham,2761,6,414,37766,2,12,Javascript,Desktop,Management System,Development,6,"view, reduce, seek"
"Williams, Vincent and Bass",may,Pedro Jenkins,5597,17,75,12572,4,2,Kotlin,Mobile,Application,Development,9,"late, return, all"
Gray Ltd,management,Anthony Wells,3186,19,407,37269,2,5,Python,Desktop,Management System,Deployment,5,"require, raise, coach"
Jones-Lamb,family,Christopher Caldwell,3568,5,211,29725,4,1,Java,Web,Web site,Design,5,"he, teacher, charge"
Curtis-Fleming,at,Luis Jefferson,505,45,403,90190,4,12,Kotlin,Web,Web site,Development,7,"second, late, for"
Santos PLC,nearly,Sandra Mckinney,6479,46,289,22307,1,15,Python,Desktop,Web site,Testing,8,"study, few, without"
"Macdonald, Jackson and Washington",newspaper,Michele Ortiz,3729,22,456,33756,2,7,Java,Mobile,Management System,Deployment,7,"central, leave, move"
Stevens Ltd,though,Nathan Castillo,7663,14,105,6735,3,7,Kotlin,Mobile,Application,Development,7,"process, thousand, account"
Anderson PLC,especially,Brian Hudson,7550,21,118,28178,1,2,Java,Desktop,Management System,Testing,2,"behavior, growth, know"
"Castro, Jones and Miller",anyone,Maria Edwards,5897,21,41,69239,4,2,Python,Web,Management System,Deployment,2,"national, floor, commercial"
Willis-Sanders,reveal,Timothy Shannon,8815,5,260,37366,3,8,Javascript,Desktop,Application,Testing,4,"production, pressure, whether"
"Khan, Davis and Harris",film,Colin Collins,4701,50,301,90340,1,3,Kotlin,Desktop,Management System,Development,5,"law, its, plan"
Rogers-Avila,during,Bryan Torres,5441,31,340,31924,3,6,Kotlin,Web,Management System,Testing,4,"rich, stand, prove"
"Moreno, Noble and Villa",easy,Brandon Owens,3686,5,419,97395,1,12,Kotlin,Desktop,Web site,Design,1,"rather, their, age"
"Barrett, Carter and Peterson",modern,Kelly Oconnor,4871,27,400,77474,1,1,Java,Desktop,Management System,Deployment,3,"audience, read, for"
Charles-Taylor,officer,Melanie King,1679,1,77,51755,4,12,Javascript,Mobile,Web site,Development,9,"positive, whatever, entire"
"Guzman, Baird and Jones",show,Ryan Johnson,6032,43,116,51266,1,14,Kotlin,Mobile,Management System,Testing,7,"ahead, debate, adult"
Cherry Group,image,Tanya Mcguire,8165,47,240,49664,2,5,Javascript,Web,Web site,Design,4,"operation, should, best"
"Cole, Nguyen and Cook",late,Wesley Bowers,8915,22,176,64255,1,6,Javascript,Web,Web site,Design,9,"Republican, fact, remember"
Daniel-Myers,many,Timothy James,4576,41,148,48570,4,7,Python,Desktop,Management System,Testing,10,"figure, similar, than"
"Johnson, Phillips and Garcia",respond,Kathryn Graham DDS,4530,14,225,67066,1,3,Java,Mobile,Management System,Development,5,"wife, president, begin"
Holland-Becker,crime,Timothy Mcdonald,5884,4,129,46870,2,4,Java,Web,Web site,Deployment,5,"executive, read, reason"
Ferguson LLC,player,Michael Rivera,9029,41,276,14334,5,11,Python,Mobile,Application,Deployment,8,"half, defense, hear"
"Gonzalez, Shields and Brandt",hear,John May,7359,14,40,24444,1,9,Java,Mobile,Web site,Development,10,"better, here, participant"
Anthony-Riley,his,Juan Miller,2325,30,61,31275,5,7,Java,Desktop,Management System,Design,3,"born, rock, military"
Lang-Gonzales,check,Amy Mejia,6382,39,309,50057,1,4,Python,Web,Management System,Deployment,10,"through, up, front"
Villanueva and Sons,throw,Stephen Kelley,4373,22,60,31718,2,1,Java,Web,Web site,Development,10,"effect, according, politics"
Smith-Montoya,smile,Matthew Johnson,6177,29,198,72724,4,12,Kotlin,Mobile,Management System,Development,5,"street, author, voice"
Pham Ltd,oil,Brandon Williams,7686,6,416,13721,1,7,Kotlin,Web,Application,Testing,7,"single, college, attack"
Rodgers and Sons,total,Thomas Weber,2293,3,24,57040,4,8,Javascript,Web,Management System,Testing,6,"condition, vote, certain"
Ross-Graham,community,Kelsey Bell,3723,37,227,1678,1,10,Javascript,Desktop,Management System,Design,7,"arrive, quite, Mr"
Roman PLC,late,Jasmin Mclaughlin,1402,15,22,94073,4,6,Javascript,Mobile,Management System,Deployment,5,"worry, season, next"
Payne Ltd,nothing,James Kim,2373,45,76,55004,2,1,Kotlin,Web,Application,Testing,10,"behavior, religious, get"
Vargas Group,go,Zachary Reyes,3332,16,208,4728,4,3,Kotlin,Web,Application,Design,1,"reduce, cut, three"
Figueroa-Waters,tell,Christine Snyder,6307,47,304,29442,5,14,Javascript,Desktop,Web site,Deployment,4,"sister, act, huge"
"Soto, Jackson and Ortiz",turn,Trevor White,3947,28,297,41057,4,10,Python,Desktop,Management System,Design,5,"under, huge, building"
Silva-Johnson,federal,Ruben Palmer,1886,25,488,57664,1,7,Kotlin,Web,Management System,Design,4,"every, group, where"
"Gibson, Pierce and Barber",enough,Michael Gay,1807,7,53,20424,4,6,Kotlin,Web,Management System,Deployment,3,"lay, window, structure"
Richardson LLC,boy,Nicholas Thomas,3756,26,299,26330,3,14,Javascript,Desktop,Management System,Deployment,1,"could, west, again"
Banks-Torres,suggest,Veronica Romero,8167,27,44,93306,2,11,Java,Mobile,Management System,Development,10,"kid, subject, resource"
Moss-Garcia,expect,Suzanne Smith,5683,10,34,34887,4,11,Python,Mobile,Management System,Development,9,"create, establish, next"
"Rubio, Peters and Fleming",ground,Teresa Smith,4031,16,123,43540,1,14,Kotlin,Web,Application,Development,7,"where, close, tend"
"Dunn, Sutton and Patel",about,Sarah Mccann,6803,13,448,95303,3,6,Javascript,Mobile,Management System,Development,5,"probably, reality, man"
Jackson Ltd,if,Mary Pierce,2190,10,161,29043,2,10,Javascript,Web,Application,Design,2,"us, buy, their"
Wong-Johnson,me,Miguel Dominguez,2962,38,174,61209,5,11,Java,Web,Management System,Testing,8,"store, wind, provide"
Torres and Sons,sing,Christopher Haynes,1503,17,421,94645,2,14,Javascript,Mobile,Web site,Design,6,"job, feeling, our"
"Flynn, Ruiz and Brown",receive,Catherine Peterson,4717,31,224,3177,1,2,Java,Mobile,Application,Deployment,6,"stop, purpose, finish"
"Patterson, Henson and Nichols",concern,Aaron Wang,9967,45,484,58599,4,14,Javascript,Web,Application,Testing,2,"benefit, bag, cost"
Wheeler-Grimes,important,Stephanie Ward,9465,2,291,25636,2,1,Javascript,Desktop,Management System,Testing,9,"although, whether, rich"
Miller LLC,example,Justin Petty,9381,23,195,65766,5,15,Python,Mobile,Web site,Design,8,"fill, price, north"
Hayes and Sons,off,James Watson,1726,23,465,86448,2,4,Javascript,Desktop,Management System,Design,4,"affect, similar, nor"
Duran-Suarez,care,Ashley Murphy,8071,4,239,73467,3,10,Python,Mobile,Management System,Testing,7,"thus, product, which"
"Keith, Osborne and Livingston",cost,Jody Barrett,3308,30,466,44107,5,15,Python,Mobile,Management System,Development,10,"another, chance, by"
Underwood Ltd,body,Dale Acosta,5025,24,157,83394,3,1,Kotlin,Web,Management System,Development,2,"enough, or, writer"
Turner LLC,behavior,Brian Sanders,614,13,409,8425,2,10,Kotlin,Mobile,Web site,Design,9,"worker, car, give"
"Johnson, Holmes and Williams",other,Dakota Escobar,5500,28,51,56771,2,2,Kotlin,Mobile,Web site,Testing,5,"pretty, nation, fire"
Watkins-Gonzales,part,Heather Cantrell,2566,32,328,6513,2,6,Javascript,Desktop,Web site,Deployment,7,"oil, up, indeed"
"Williams, Green and Wells",mother,Candice Gardner,9118,20,486,38505,4,10,Python,Mobile,Management System,Development,7,"agency, deal, north"
Hatfield-Smith,plan,Troy Anderson,1008,33,460,61418,1,13,Javascript,Mobile,Application,Testing,6,"budget, system, radio"
Maldonado Ltd,street,Angel Reyes,5280,37,424,31759,4,15,Java,Desktop,Web site,Testing,2,"both, condition, room"
Daniel-Smith,sell,Darlene Smith,7622,9,353,5474,3,11,Javascript,Mobile,Web site,Deployment,2,"mouth, less, off"
Hicks PLC,music,Eugene Jackson,8889,49,205,67856,4,11,Kotlin,Web,Application,Deployment,6,"yeah, whole, budget"
"Brown, Davis and Chavez",main,Amy Montgomery,4791,21,377,11948,2,4,Java,Web,Application,Testing,10,"direction, instead, action"
Mason Group,personal,Katherine Hayden,3345,6,446,35594,1,7,Java,Mobile,Management System,Testing,5,"house, south, budget"
"Wong, Hall and Pena",thought,Katrina Coleman,2147,6,238,6627,4,1,Java,Web,Application,Development,6,"and, director, sister"
Shah-Vincent,go,Justin Garza,9874,11,206,4915,2,11,Python,Desktop,Application,Testing,8,"oil, contain, here"
Kerr LLC,instead,Jeffrey York,9909,25,411,80063,3,5,Java,Mobile,Management System,Deployment,10,"still, religious, customer"
Blanchard PLC,choose,Dylan Mcmahon,1993,49,468,92189,1,11,Javascript,Web,Web site,Deployment,1,"seem, against, yeah"
Hunter Ltd,take,Yvonne Sanders,9889,7,141,57917,2,14,Java,Web,Web site,Deployment,2,"various, kid, method"
"Lee, Ellison and Williams",hundred,Regina Anderson,9150,7,36,55669,5,11,Kotlin,Web,Application,Design,6,"TV, option, a"
Fletcher-Christensen,push,Eric Cameron,8588,42,322,61045,2,2,Kotlin,Desktop,Application,Development,2,"why, page, detail"
Henderson Group,help,Kelly Roman,8517,12,143,77612,1,11,Java,Web,Web site,Design,4,"knowledge, during, them"
"Russell, Kent and Allen",if,Gregory Thompson,2302,46,445,25819,2,6,Python,Web,Application,Deployment,5,"today, marriage, big"
Jensen Inc,laugh,Charles Johnson,3806,28,313,50031,5,2,Kotlin,Web,Web site,Development,6,"perform, nothing, opportunity"
Taylor LLC,term,Daisy Johnson,3794,16,156,41196,4,5,Kotlin,Desktop,Management System,Development,8,"country, wish, factor"
Sims PLC,also,Austin Maddox,1469,49,291,30669,3,2,Javascript,Web,Management System,Development,2,"rate, long, meeting"
Klein PLC,wind,Carrie Nichols,3047,18,18,1641,5,9,Kotlin,Web,Management System,Testing,1,"use, form, significant"
"Bradshaw, Wolfe and Anderson",law,Casey Le,9478,34,166,50511,4,3,Javascript,Web,Management System,Deployment,4,"project, hotel, man"
Chang-Vasquez,include,Phillip Reyes,6292,8,10,52631,4,12,Kotlin,Web,Management System,Design,5,"Republican, happy, serious"
"Schultz, Summers and Paul",million,Omar Blair,7499,36,341,13341,4,6,Python,Desktop,Application,Testing,3,"small, surface, role"
Pace Inc,choose,Jason Spencer,4912,37,49,15817,1,11,Java,Desktop,Application,Deployment,4,"month, tough, court"
Drake-Ponce,ready,Michelle Flores,3488,27,97,97340,5,7,Java,Desktop,Application,Development,4,"capital, great, small"
"Cook, Carlson and Olson",near,Christine Cantrell,498,21,265,27865,2,2,Kotlin,Mobile,Application,Deployment,3,"president, address, size"
"Bailey, Wong and Jackson",board,Michael Thompson,1618,24,228,93197,1,6,Kotlin,Web,Management System,Testing,5,"late, glass, may"
Chavez-Young,single,Robert Lewis,1903,6,256,84108,3,12,Kotlin,Desktop,Management System,Design,2,"treat, last, score"
Donovan Group,body,Jennifer Baker,9636,3,70,26366,1,5,Java,Mobile,Management System,Development,7,"join, laugh, describe"
"Baird, Chambers and Mills",catch,Lauren Noble,9590,23,433,57852,1,12,Python,Mobile,Management System,Deployment,9,"to, the, near"
"Hansen, Kline and Maxwell",scientist,Erica Hernandez,8968,19,463,65616,2,9,Kotlin,Desktop,Management System,Deployment,3,"order, tough, again"
"Hoffman, Serrano and Smith",military,Sharon Knox,2801,10,160,56105,5,4,Java,Web,Web site,Development,1,"end, follow, significant"
"Ortiz, Martin and Guerra",life,Jennifer Miranda,691,49,31,49513,3,1,Javascript,Mobile,Application,Development,3,"land, phone, song"
Watts-Carson,put,Jennifer Briggs,5739,11,91,60162,5,8,Kotlin,Mobile,Application,Deployment,3,"point, individual, who"
"Morales, Chapman and Duran",debate,Samantha Luna,9511,27,120,7787,3,4,Javascript,Desktop,Management System,Deployment,1,"goal, expert, response"
Castro-Carpenter,ok,Amy Wilson,3007,34,160,48677,2,9,Kotlin,Web,Web site,Design,5,"establish, standard, step"
"Juarez, Jackson and Mccarthy",seat,Wendy Stewart,8147,0,452,68117,3,12,Javascript,Mobile,Web site,Development,4,"once, health, with"
Grant Ltd,low,Mary Nelson,2788,48,18,9374,3,12,Java,Web,Web site,Development,3,"only, name, clearly"
Aguirre and Sons,safe,Mark Maldonado,8923,18,306,18931,4,1,Java,Web,Management System,Design,10,"send, expect, finally"
Roberts-Wolf,laugh,Tanya Barton,5468,15,412,47196,5,12,Python,Mobile,Management System,Deployment,2,"population, field, site"
"Foster, Hood and Taylor",action,Joshua Richardson,3475,22,352,23775,3,2,Java,Mobile,Management System,Design,10,"me, PM, many"
Davis LLC,money,William Carter,5524,14,392,98986,1,11,Java,Mobile,Management System,Deployment,9,"note, full, news"
Oliver-Howell,happen,Adam Boyd,5576,21,76,21862,5,15,Kotlin,Desktop,Application,Development,9,"event, generation, rate"
Henderson PLC,finish,Jennifer Wheeler,5178,8,455,49358,4,10,Java,Mobile,Application,Deployment,6,"relationship, artist, me"
Page-Hernandez,anything,Courtney Hernandez,9961,34,382,21671,5,15,Javascript,Web,Application,Development,5,"federal, company, positive"
Wagner-Ramirez,management,Cindy Hall,5324,35,406,58668,5,3,Kotlin,Mobile,Web site,Deployment,1,"thing, American, wall"
Ingram PLC,make,Jonathan Morales,5396,47,464,77405,3,5,Kotlin,Web,Web site,Deployment,2,"clear, first, particular"
Oliver-Robinson,industry,Jessica Watson,9460,9,362,21116,4,9,Java,Mobile,Web site,Deployment,3,"own, ok, beyond"
Hart LLC,usually,Robert Phillips,8505,31,214,7223,2,12,Javascript,Desktop,Application,Testing,8,"in, shoulder, yeah"
Graham-Haley,popular,David Parsons,8291,29,191,96215,3,14,Javascript,Desktop,Application,Design,7,"serve, turn, because"
Ross-Ingram,fund,Jacqueline Rivera,9960,40,359,32635,2,12,Kotlin,Mobile,Management System,Deployment,10,"their, participant, her"
"Sparks, Parrish and Taylor",man,Ebony Rivers,9775,40,296,93641,5,10,Python,Web,Web site,Design,3,"season, open, bed"
Watson-Dean,purpose,Shannon Rodriguez,4663,48,408,7379,2,9,Java,Desktop,Web site,Design,10,"cold, close, test"
"Miles, Medina and Solis",yet,Patrick Smith,6959,11,416,87346,3,4,Python,Mobile,Application,Testing,5,"available, identify, strategy"
Jones-Turner,find,Reginald Kaufman,4499,28,279,77115,1,8,Python,Web,Application,Development,7,"wear, author, fine"
"Farley, Lee and Porter",late,Erica Evans,6720,27,340,33507,1,4,Kotlin,Web,Application,Deployment,2,"step, he, put"
"Benson, Morrison and Woods",keep,Thomas Hall,3703,21,104,66937,3,3,Kotlin,Web,Web site,Development,9,"day, point, trial"
Stout PLC,want,Jennifer Cox,7505,36,330,42464,2,1,Javascript,Mobile,Application,Testing,5,"first, room, seven"
"Cuevas, Oliver and Schmidt",fine,Mark Wheeler,9642,21,358,44518,3,3,Java,Mobile,Management System,Testing,3,"enough, western, compare"
"Vincent, Jones and Dominguez",serious,Traci Stewart,2307,11,410,12947,1,6,Java,Mobile,Application,Testing,4,"resource, weight, dinner"
Holmes-Bass,president,Rhonda Kelly,3264,41,412,63045,5,10,Python,Desktop,Management System,Deployment,9,"war, certain, rate"
Day Inc,maybe,Kimberly Cline,4016,2,185,54870,2,13,Python,Web,Web site,Deployment,1,"list, road, area"
"Thompson, Frye and Singh",fear,Rhonda Levy,1302,34,461,64725,2,2,Kotlin,Web,Management System,Development,2,"direction, kid, want"
Carr-Thompson,once,Brian Burns,2946,25,75,12099,5,14,Kotlin,Mobile,Web site,Testing,2,"role, half, box"
"Macdonald, Miller and Sims",party,Donna Gardner,863,8,274,36694,5,1,Java,Desktop,Management System,Design,7,"most, strategy, least"
"Brown, Flores and Benson",fact,Frank Mccarthy,406,43,407,20558,3,15,Kotlin,Desktop,Web site,Design,6,"have, player, material"
"White, Morris and Williams",later,Grace Burch,6032,3,413,63807,5,13,Java,Web,Web site,Deployment,7,"early, new, administration"
"Marshall, Kennedy and Byrd",large,Jonathan Ballard,458,31,44,79622,4,11,Javascript,Web,Management System,Development,8,"appear, real, democratic"
"Reynolds, Curtis and Rivera",which,Christie Knapp,2574,47,482,93943,2,10,Java,Mobile,Web site,Development,4,"scientist, himself, go"
Miller-Wiley,letter,Patty Gould,1501,9,100,65102,5,11,Python,Mobile,Web site,Development,8,"month, service, build"
"Fowler, Keller and Jones",blood,Paul Guerrero,2928,43,489,95979,3,13,Javascript,Desktop,Application,Design,5,"line, star, may"
Conley LLC,rule,Allen Hawkins,6560,48,195,33128,3,10,Java,Mobile,Management System,Deployment,6,"draw, what, race"
Hatfield LLC,require,Kevin Garcia,4573,41,272,78959,5,1,Java,Mobile,Management System,Testing,5,"bit, who, parent"
"Alexander, Cain and Nguyen",whatever,Erika Ramirez,3915,18,87,66721,1,2,Javascript,Web,Web site,Design,7,"each, in, road"
Bennett-Jenkins,evening,Sherry Anderson,7395,24,221,44376,1,9,Python,Desktop,Management System,Testing,8,"arm, seven, join"
Hansen LLC,feel,Rachel Jackson,9208,21,160,91693,2,1,Kotlin,Web,Application,Design,6,"area, character, military"
"Bartlett, Nash and Park",share,Thomas Gonzales,2456,3,317,57084,5,9,Javascript,Mobile,Web site,Development,4,"easy, teach, maintain"
Grant-Brooks,care,Wendy Cortez,2482,10,403,48320,3,2,Javascript,Web,Web site,Testing,4,"system, especially, factor"
King-Smith,everyone,Christopher Paul,3785,21,307,56874,4,14,Javascript,Desktop,Management System,Deployment,5,"up, western, institution"
Dawson-Kirby,itself,Walter Taylor,710,29,251,83804,5,11,Java,Mobile,Management System,Design,2,"rock, mission, table"
Washington-Tucker,over,Jessica Riley,4777,24,134,19991,3,3,Java,Mobile,Application,Testing,3,"possible, stage, reduce"
Smith Ltd,traditional,Sean Wilcox,4276,5,485,93761,4,2,Javascript,Desktop,Web site,Testing,10,"treat, girl, difference"
Williams-Golden,red,Ashley Delgado,9980,31,188,8140,4,11,Java,Mobile,Management System,Development,10,"past, none, four"
Mccarty Ltd,again,Benjamin Hartman,1576,24,123,28409,2,15,Kotlin,Desktop,Management System,Development,2,"television, significant, wear"
"Adams, Munoz and Scott",buy,Russell Choi,4958,40,290,39986,2,13,Python,Web,Application,Deployment,9,"agency, appear, particularly"
Smith and Sons,science,Seth Mcguire,2970,27,60,79830,1,10,Java,Mobile,Application,Deployment,6,"response, court, voice"
Jimenez LLC,both,Mr. Justin Jones II,1979,31,197,37867,3,6,Javascript,Desktop,Application,Deployment,10,"kid, pull, move"
"Lewis, White and Hall",claim,Robert Gomez,1521,1,109,39466,2,3,Kotlin,Web,Web site,Development,9,"employee, specific, likely"
"Boyd, Gutierrez and Gibson",across,William Gordon,3675,44,340,46218,5,15,Kotlin,Mobile,Management System,Testing,7,"image, window, administration"
Bennett and Sons,conference,Jesus Suarez,3525,40,150,70394,4,1,Kotlin,Mobile,Application,Design,5,"nor, pressure, take"
"Ellison, Morgan and Warner",catch,Charles Murray,7300,34,199,61959,3,1,Javascript,Mobile,Management System,Testing,10,"method, until, play"
Hernandez and Sons,ready,Erin Alvarado,5069,39,123,33878,5,6,Kotlin,Desktop,Web site,Development,10,"pass, piece, radio"
Carrillo-Sandoval,nice,Holly Sanders,3280,30,13,35178,5,3,Javascript,Desktop,Management System,Development,9,"but, cut, bank"
Shaw Ltd,current,Joshua Haley,6273,20,62,3595,2,3,Java,Mobile,Management System,Testing,3,"share, more, we"
